match,id,P11806,name,autoq,wikidata_company_name,desc,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,50908,50908,TRIGGER,Q10813424,Trigger,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,33,11,11
PROBABLY,20566,20566,Reel Life Productions,Q4048130,Reel Life Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,9,1,1
PROBABLY,433,433,Weed Road Pictures,Q10719511,Weed Road Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,30,9,9
PROBABLY,435,435,Di Bonaventura Pictures,Q17305133,di Bonaventura Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,54,21,21
PROBABLY,166120,166120,Balboa Productions,Q63526118,Balboa Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,9,2,2
PROBABLY,29749,29749,Jesse L. Lasky Feature Play Company,Q57315094,Jesse L. Lasky Feature Play Company,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,87,2,2
PROBABLY,166236,166236,Tan's Film,Q7681997,Tan's Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,15,4,4
PROBABLY,10039,10039,Anonymous Content,Q567633,Anonymous Content,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,135,28,28
PROBABLY,10040,10040,Level 1 Entertainment,Q6535000,Level 1 Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,3,1
PROBABLY,10054,10054,Irusoin,Q12259795,Irusoin,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,19,9,9
PROBABLY,86971,86971,Aplaplac,Q5701362,Aplaplac,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,11,1,1
PROBABLY,51068,51068,Toolbox Film,Q111986165,Toolbox Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,14,1,1
PROBABLY,10081,10081,Spark Media,Q7573630,Spark Media,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,1,1
PROBABLY,160140,160140,Archie Comics,Q633812,Archie Comics,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,8,1
PROBABLY,24144,24144,Kaissar Film,Q41635406,Kaissar Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,1,1
PROBABLY,461,461,Les Films Christian Fechner,Q3232636,Les Films Christian Fechner,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,41,7,7
PROBABLY,10100,10100,Thin Man Films,Q17032103,Thin Man Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,14,7,7
PROBABLY,113206,113206,Celltrion Entertainment,Q45096126,Celltrion Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,26,6,6
PROBABLY,24930,24930,Alvernia Studios,Q9149255,Alvernia Studios,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,1,1
PROBABLY,119685,119685,Hedgebrook,Q5697280,Hedgebrook,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,477,477,Hughes Entertainment,Q20873087,Hughes Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,16,1,1
PROBABLY,51164,51164,Whitaker Entertainment,Q24577156,Whitaker Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,5,2,2
PROBABLY,10102,10102,Cattleya,Q133733,Cattleya,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,93,1,1
